('(-0.1435, 0.0456, -1.8333, 312.12821673818291, 0)', 18.975870847702026)
('(-0.1502, 0.0296, -1.8029, 321.73191872340703, 0)', 19.096325874328613)
('(-0.1529, 0.023, -1.7638, 334.64422645361481, 0)', 19.219656944274902)
('(-0.1483, 0.0168, -1.7449, 343.52922861564065, 0)', 19.32902503013611)
('(-0.1322, 0.0254, -1.7264, 351.4154969785443, 0)', 19.434701919555664)
('(-0.117, 0.0253, -1.7173, 6.0341148820018429, 0)', 19.56236481666565)
('(-0.0958, 0.025, -1.6994, 21.198806193834589, 0)', 19.687340021133423)
('(-0.0669, 0.0249, -1.6905, 41.561670874294002, 0)', 19.814743995666504)
('(-0.0357, 0.0193, -1.6994, 56.245008105759361, 0)', 19.935914039611816)
('(0.0099, 0.0105, -1.6818, 74.368765608677862, 0)', 20.04850196838379)
('(0.0408, 0.002, -1.6732, 74.371152146350099, 0)', 20.174803972244263)
('(0.0714, -0.0459, -1.6646, 79.142478266285806, 0)', 20.29516291618347)
('(0.1135, -0.0262, -1.6646, 79.39285198832934, 0)', 20.408413887023926)
('(0.1387, -0.0318, -1.6646, 76.870833679651327, 0)', 20.53296399116516)
('(0.1611, -0.06, -1.6646, 82.393701672351909, 0)', 20.654651880264282)
('(0.1704, -0.0801, -1.6732, 85.910998544963277, 0)', 20.775303840637207)
('(0.1816, -0.1113, -1.6732, 94.964745890749342, 0)', 20.904525995254517)
('(0.1835, -0.1332, -1.6646, 97.197490191093422, 0)', 21.019065856933594)
('(0.1863, -0.1529, -1.6646, 90.0, 0)', 21.136045932769775)
('(0.1872, -0.1681, -1.6478, 90.0, 0)', 21.254315853118896)
('(0.1826, -0.1942, -1.6561, 33.481340655120441, 0)', 21.36777091026306)
('(0.1669, -0.2283, -1.6395, 3.3468186417401902, 0)', 21.486397981643677)
('(0.1539, -0.2517, -1.6478, 326.52116019730431, 0)', 21.609670877456665)
('(0.1373, -0.2824, -1.6478, 297.40757543781859, 0)', 21.724156856536865)
('(0.1129, -0.3063, -1.6561, 270.0, 0)', 21.83531904220581)
('(0.0846, -0.341, -1.6478, 270.0, 0)', 21.950541973114014)
('(0.0627, -0.3763, -1.6561, 264.24116069844445, 0)', 22.06311798095703)
